DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
2502.460491,0.004,0.01,0.007,1,16,60,1

2502.460491,0.01,0.025,0.0175,1,8,60,2

2502.460491,0.025,0.05,0.037500000000000006,1,1,60,3

2502.479873,0.004,0.01,0.007,1,13,61,1

2502.479873,0.01,0.025,0.0175,1,7,61,2

2502.479873,0.025,0.05,0.037500000000000006,1,2,61,3

2502.535272,0.004,0.01,0.007,1,18,62,1

2502.535272,0.01,0.025,0.0175,1,5,62,2

2502.535272,0.025,0.05,0.037500000000000006,1,1,62,3

743.176271,0.004,0.01,0.007,1,12,63,1

743.176271,0.01,0.025,0.0175,1,5,63,2

743.176271,0.025,0.05,0.037500000000000006,1,1,63,3

743.199302,0.004,0.01,0.007,1,29,64,1

743.199302,0.01,0.025,0.0175,1,5,64,2

743.199302,0.025,0.05,0.037500000000000006,1,2,64,3

743.254667,0.004,0.01,0.007,1,24,65,1

743.254667,0.01,0.025,0.0175,1,4,65,2

743.254667,0.025,0.05,0.037500000000000006,1,0,65,3

743.238446,0.004,0.01,0.007,1,23,66,1

743.238446,0.01,0.025,0.0175,1,10,66,2

743.238446,0.025,0.05,0.037500000000000006,1,2,66,3

743.183097,0.004,0.01,0.007,1,18,67,1

743.183097,0.01,0.025,0.0175,1,7,67,2

743.183097,0.025,0.05,0.037500000000000006,1,1,67,3

743.173872,0.004,0.01,0.007,1,21,68,1

743.173872,0.01,0.025,0.0175,1,6,68,2

743.173872,0.025,0.05,0.037500000000000006,1,1,68,3

743.170719,0.004,0.01,0.007,1,22,69,1

743.170719,0.01,0.025,0.0175,1,7,69,2

743.170719,0.025,0.05,0.037500000000000006,1,1,69,3

743.17975,0.004,0.01,0.007,1,25,70,1

743.17975,0.01,0.025,0.0175,1,6,70,2

743.17975,0.025,0.05,0.037500000000000006,1,0,70,3

743.222751,0.004,0.01,0.007,1,23,71,1

743.222751,0.01,0.025,0.0175,1,3,71,2

743.222751,0.025,0.05,0.037500000000000006,1,2,71,3

743.184719,0.004,0.01,0.007,1,21,72,1

743.184719,0.01,0.025,0.0175,1,5,72,2

743.184719,0.025,0.05,0.037500000000000006,1,1,72,3

1081.801961,0.004,0.01,0.007,1,21,73,1

1081.801961,0.01,0.025,0.0175,1,14,73,2

1081.801961,0.025,0.05,0.037500000000000006,1,1,73,3

1081.705787,0.004,0.01,0.007,1,27,74,1

1081.705787,0.01,0.025,0.0175,1,8,74,2

1081.705787,0.025,0.05,0.037500000000000006,1,2,74,3

1081.767484,0.004,0.01,0.007,1,33,75,1

1081.767484,0.01,0.025,0.0175,1,9,75,2

1081.767484,0.025,0.05,0.037500000000000006,1,0,75,3

1081.755709,0.004,0.01,0.007,1,30,76,1

1081.755709,0.01,0.025,0.0175,1,10,76,2

1081.755709,0.025,0.05,0.037500000000000006,1,1,76,3

1081.715711,0.004,0.01,0.007,1,28,77,1

1081.715711,0.01,0.025,0.0175,1,6,77,2

1081.715711,0.025,0.05,0.037500000000000006,1,2,77,3

