DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
188.418,0.01,0.025,0.0175,1,11,48,2
188.418,0.025,0.05,0.037500000000000006,1,3,48,3
2.383,0.004,0.01,0.007,1,22,49,1
2.383,0.01,0.025,0.0175,1,11,49,2
2.383,0.025,0.05,0.037500000000000006,1,2,49,3
7.394,0.004,0.01,0.007,1,43,50,1
7.394,0.01,0.025,0.0175,1,7,50,2
7.394,0.025,0.05,0.037500000000000006,1,2,50,3
12.255,0.004,0.01,0.007,1,26,51,1
12.255,0.01,0.025,0.0175,1,8,51,2
12.255,0.025,0.05,0.037500000000000006,1,2,51,3
14.757,0.004,0.01,0.007,1,21,52,1
14.757,0.01,0.025,0.0175,1,10,52,2
14.757,0.025,0.05,0.037500000000000006,1,2,52,3
17.255,0.004,0.01,0.007,1,26,53,1
17.255,0.01,0.025,0.0175,1,10,53,2
17.255,0.025,0.05,0.037500000000000006,1,5,53,3
19.779,0.004,0.01,0.007,1,35,54,1
19.779,0.01,0.025,0.0175,1,15,54,2
19.779,0.025,0.05,0.037500000000000006,1,0,54,3
22.271,0.004,0.01,0.007,1,28,55,1
22.271,0.01,0.025,0.0175,1,8,55,2
22.271,0.025,0.05,0.037500000000000006,1,1,55,3
26.907,0.004,0.01,0.007,1,38,56,1
26.907,0.01,0.025,0.0175,1,12,56,2
26.907,0.025,0.05,0.037500000000000006,1,1,56,3
28.766,0.004,0.01,0.007,1,33,57,1
28.766,0.01,0.025,0.0175,1,12,57,2
28.766,0.025,0.05,0.037500000000000006,1,2,57,3
31.312,0.004,0.01,0.007,1,33,58,1
31.312,0.01,0.025,0.0175,1,10,58,2
31.312,0.025,0.05,0.037500000000000006,1,1,58,3
33.832,0.004,0.01,0.007,1,31,59,1
33.832,0.01,0.025,0.0175,1,11,59,2
33.832,0.025,0.05,0.037500000000000006,1,2,59,3
36.223,0.004,0.01,0.007,1,28,60,1
36.223,0.01,0.025,0.0175,1,12,60,2
36.223,0.025,0.05,0.037500000000000006,1,6,60,3
38.634,0.004,0.01,0.007,1,39,61,1
38.634,0.01,0.025,0.0175,1,9,61,2
38.634,0.025,0.05,0.037500000000000006,1,0,61,3
41.248,0.004,0.01,0.007,1,35,62,1
41.248,0.01,0.025,0.0175,1,6,62,2
41.248,0.025,0.05,0.037500000000000006,1,2,62,3
43.739,0.004,0.01,0.007,1,33,63,1
43.739,0.01,0.025,0.0175,1,15,63,2
43.739,0.025,0.05,0.037500000000000006,1,1,63,3
46.229,0.004,0.01,0.007,1,32,64,1
46.229,0.01,0.025,0.0175,1,9,64,2
46.229,0.025,0.05,0.037500000000000006,1,4,64,3
48.587,0.004,0.01,0.007,1,30,65,1
48.587,0.01,0.025,0.0175,1,7,65,2
48.587,0.025,0.05,0.037500000000000006,1,2,65,3
50.414,0.004,0.01,0.007,1,32,66,1
50.414,0.01,0.025,0.0175,1,12,66,2
50.414,0.025,0.05,0.037500000000000006,1,2,66,3
61.767,0.004,0.01,0.007,1,35,67,1
61.767,0.01,0.025,0.0175,1,8,67,2
61.767,0.025,0.05,0.037500000000000006,1,1,67,3
68.443,0.004,0.01,0.007,1,34,68,1
68.443,0.01,0.025,0.0175,1,6,68,2
68.443,0.025,0.05,0.037500000000000006,1,1,68,3
70.946,0.004,0.01,0.007,1,30,69,1
70.946,0.01,0.025,0.0175,1,8,69,2
70.946,0.025,0.05,0.037500000000000006,1,1,69,3
73.344,0.004,0.01,0.007,1,31,70,1
73.344,0.01,0.025,0.0175,1,8,70,2
73.344,0.025,0.05,0.037500000000000006,1,3,70,3
75.726,0.004,0.01,0.007,1,39,71,1
75.726,0.01,0.025,0.0175,1,9,71,2
75.726,0.025,0.05,0.037500000000000006,1,2,71,3
78.112,0.004,0.01,0.007,1,30,72,1
78.112,0.01,0.025,0.0175,1,9,72,2
78.112,0.025,0.05,0.037500000000000006,1,1,72,3
80.578,0.004,0.01,0.007,1,27,73,1
80.578,0.01,0.025,0.0175,1,8,73,2
80.578,0.025,0.05,0.037500000000000006,1,0,73,3
83.074,0.004,0.01,0.007,1,27,74,1
83.074,0.01,0.025,0.0175,1,13,74,2
83.074,0.025,0.05,0.037500000000000006,1,2,74,3
85.555,0.004,0.01,0.007,1,25,75,1
85.555,0.01,0.025,0.0175,1,12,75,2
85.555,0.025,0.05,0.037500000000000006,1,1,75,3
88.059,0.004,0.01,0.007,1,26,76,1
88.059,0.01,0.025,0.0175,1,9,76,2
88.059,0.025,0.05,0.037500000000000006,1,2,76,3
93.072,0.004,0.01,0.007,1,31,77,1
93.072,0.01,0.025,0.0175,1,9,77,2
93.072,0.025,0.05,0.037500000000000006,1,0,77,3
95.63,0.004,0.01,0.007,1,24,78,1
95.63,0.01,0.025,0.0175,1,13,78,2
95.63,0.025,0.05,0.037500000000000006,1,1,78,3
98.235,0.004,0.01,0.007,1,26,79,1
98.235,0.01,0.025,0.0175,1,18,79,2
98.235,0.025,0.05,0.037500000000000006,1,2,79,3
100.446,0.004,0.01,0.007,1,22,80,1
100.446,0.01,0.025,0.0175,1,9,80,2
100.446,0.025,0.05,0.037500000000000006,1,3,80,3
102.835,0.004,0.01,0.007,1,31,81,1
102.835,0.01,0.025,0.0175,1,13,81,2
102.835,0.025,0.05,0.037500000000000006,1,1,81,3
105.607,0.004,0.01,0.007,1,31,82,1
105.607,0.01,0.025,0.0175,1,7,82,2
105.607,0.025,0.05,0.037500000000000006,1,1,82,3
107.824,0.004,0.01,0.007,1,39,83,1
107.824,0.01,0.025,0.0175,1,6,83,2
107.824,0.025,0.05,0.037500000000000006,1,1,83,3
109.782,0.004,0.01,0.007,1,35,84,1
109.782,0.01,0.025,0.0175,1,7,84,2
109.782,0.025,0.05,0.037500000000000006,1,1,84,3
121.35,0.004,0.01,0.007,1,29,85,1
121.35,0.01,0.025,0.0175,1,9,85,2
121.35,0.025,0.05,0.037500000000000006,1,0,85,3
123.312,0.004,0.01,0.007,1,40,86,1
123.312,0.01,0.025,0.0175,1,9,86,2
123.312,0.025,0.05,0.037500000000000006,1,2,86,3
125.108,0.004,0.01,0.007,1,34,87,1
125.108,0.01,0.025,0.0175,1,15,87,2
125.108,0.025,0.05,0.037500000000000006,1,1,87,3
127.406,0.004,0.01,0.007,1,33,88,1
127.406,0.01,0.025,0.0175,1,12,88,2
127.406,0.025,0.05,0.037500000000000006,1,2,88,3
129.253,0.004,0.01,0.007,1,28,89,1
